1|31
2|31
2|16
1|16
2|16
1|16
2|15
1|15
1|16
2|16
2|16
1|16
2|15
1|15
2|16
1|16
1|15
2|15
1|16
2|16
1|16
2|16
2|16
1|16
1|32
2|32
1|31
2|31
2|63
1|63
1|31
2|31
2|16
1|16
1|15
2|15
1|16
2|16
1|15
1|16
2|31
1|16
2|16
1|15
2|15
1|16
2|16
1|16
2|16
1|15
2|15
1|16
2|16
2|15
1|15
1|16
2|16
1|15
2|15
2|16
1|16
1|16
2|31
2|16
1|16
1|15
2|15
1|16
2|32
2|15
1|15
1|16
2|32
1|47
2|46
1|31
1|31
2|31
2|32
1|32
1|15
2|15
2|16
1|16
1|16
2|32
2|15
1|31
1|16
2|16
1|16
2|16
1|15
2|15
2|16
1|16
1|15
2|15
1|16
2|16
2|16
1|16
1|15
2|15
2|16
1|16
2|16
1|16
1|15
2|15
1|16
2|16
1|15
2|15
1|16
2|16
2|16
1|16
1|15
2|15
2|16
1|16
2|16
1|16
1|15
2|15
2|16
1|16
2|15
1|15
1|16
2|16
1|16
2|16
2|15
1|15
2|16
1|16
2|16
1|16
2|15
1|15
1|16
2|16
1|15
2|15
1|16
2|16
2|16
1|16
2|15
1|15
2|16
1|16
2|16
1|16
2|15
1|15
1|16
2|16
2|15
1|15
1|16
2|16
1|16
2|16
1|15
2|15
1|16
2|16
1|16
2|16
1|15
2|15
2|16
1|16
1|15
2|15
2|16
1|16
1|16
2|16
2|15
1|15
1|16
2|16
2|16
1|16
1|15
2|15
2|16
1|16
1|15
2|15
1|16
2|16
2|16
1|16
1|16
2|31
2|31
1|31
1|16
2|16
1|15
2|15
2|16
1|16
1|31
2|31
2|16
1|16
1|16
2|16
2|15
1|15
1|16
2|16
2|15
2|16
2|16
1|32
2|16
2|15
1|15
2|16
1|16
2|16
2|15
1|47
2|16
2|15
1|15
2|16
1|16
2|16
1|16
2|15
1|15
2|16
2|16
1|16
1|15
2|15
2|16
1|16
2|15
2|16
1|31
2|16
1|16
2|15
2|16
1|16
2|16
1|16
2|15
1|15
2|16
1|16
2|15
1|15
2|16
1|16
2|16
2|15
1|15
1|16
2|16
1|16
2|16
1|15
2|15
1|16
2|16
1|15
1|32
2|32
1|15
2|15
1|16
2|16
1|16
2|16
1|15
2|15
1|16
1|15
2|31
1|16
2|16
1|16
2|16
1|15
2|15
2|16
1|16
1|16
2|16
2|15
1|15
1|16
2|16
1|15
1|16
2|31
1|16
2|16
1|15
2|15
1|16
2|16
1|16
1|15
2|15
1|16
1|15
2|31
2|16
1|16
2|16
1|16
2|15
1|15
2|16
2|16
1|31
2|15
2|16
1|16
2|15
2|16
1|16
2|16
1|16
2|15
1|15
2|16
1|32
2|31
1|16
1|15
2|15
2|16
1|16
2|16
1|16
2|15
1|15
2|16
1|16
2|16
1|16
2|15
1|15
2|16
1|16
2|15
1|15
2|16
1|16
2|16
2|15
1|31
1|16
2|16
1|31
2|31
2|16
1|16
1|15
2|15
2|16
1|16
2|15
2|16
1|16
1|16
2|16
2|15
1|15
1|16
2|16
2|16
1|31
1|15
2|15
1|16
2|16
1|16
2|16
1|15
2|15
1|16
1|15
2|15
1|16
2|16
1|16
1|15
2|15
1|16
2|16
1|16
2|16
1|15
2|15
1|16
2|16
1|15
2|15
1|16
1|16
2|32
1|15
2|15
1|16
1|16
1|15
1|16
